n_graphs	duration_sec	mean_fragmentation	std_fragmentation	mean_modularity	std_modularity	mean_clustering	mean_coupling	frag_early	frag_late	frag_trend	mod_early	mod_late	n_fragmentation_shifts	graph_autocorr	subject	condition
21	100.0	0.88295628422332	0.1015918613294708	0.517974018794883	0.2911740826039655	0.1933813896214818	0.2307843574616303	0.9259052492346418	0.8822902074241449	stable	0.6314881913014814	0.6148697187917901	0	0.5609248901088837	0010-ISJP	Task
25	120.0	0.9381802159152778	0.0667584876837608	0.4894176440953011	0.2029925931428042	0.1066373284856304	0.1236055975620205	0.962893628764685	0.8984094117535497	stable	0.5921452960022029	0.4045194773010351	1	0.3930115505162062	0011-KISN	Task
26	125.0	0.9330643569474174	0.05987429219865	0.557729885237659	0.305360252595205	0.1103563925529182	0.1358857131327369	0.8872218667675114	0.9559745891336232	increasing	0.4159462319730456	0.6798613840851746	0	0.1917814745624499	0012-KSLI	Task
20	95.0	0.9514800768261572	0.0424734954350108	0.6329452388799128	0.2526735926017543	0.1044626020020957	0.1397254954876202	0.9524425145353606	0.9483787318076436	increasing	0.5449808823385531	0.6642270965135785	0	-0.1087662947353811	0013-KYXT	Task
23	110.0	0.9335605731556124	0.0535022849276163	0.4654115679538585	0.189325412206697	0.1180415875986431	0.1401301395059739	0.9316234772123624	0.9001203438607708	stable	0.5024101342860262	0.4313536806639892	0	0.0129821680218674	0014-LEDG	Task
21	100.0	0.915294095637272	0.0590036787923393	0.6295459986161437	0.2821007871230686	0.1571268352856964	0.2051359475586887	0.910952280816194	0.90441732281574	increasing	0.6502772269925797	0.5806137006879947	0	0.1822341011809405	0015-LINI	Task
23	110.0	0.8987864425495163	0.0893719201322714	0.5309964736285157	0.2324810675090456	0.1656271509833371	0.1979817818654044	0.8279335828665068	0.9338926054888782	increasing	0.4463464182378774	0.579513548827615	2	0.1408653226945312	0016-LTRQ	Task
21	100.0	0.9550794557717546	0.0436411963671598	0.5874961003949108	0.2672244227084663	0.0885324232629904	0.1165716088179185	0.94585810498295	0.971162891257552	increasing	0.4609301846641833	0.7752171140582449	0	0.0474129152389487	0017-MDMS	Task
19	90.0	0.9258061525401426	0.0511337393997087	0.5140472437576799	0.2928115545141069	0.1280784925167868	0.1515206039817332	0.9717556045581692	0.8999866805917139	stable	0.7663657069620161	0.3490746801015155	0	0.4092266601673035	0018-NMIL	Task
25	120.0	0.9581874368786032	0.0291083729838704	0.5844396514224943	0.1621291006242641	0.0982313055999778	0.1312000527932534	0.9593639345715056	0.956930187464713	stable	0.5294085362732928	0.6009620674512909	0	0.1789093586476159	0020-RLCE	Task
31	150.0	0.9149691016236056	0.0639881226349164	0.5214580027632941	0.2789028596242337	0.1377468300678394	0.1696867986607561	0.9038101578697152	0.9112893759775402	increasing	0.5252587599890582	0.5033257929185208	0	0.026716400012199	0021-RNDM	Task
25	120.0	0.9297449419114554	0.0480578608562939	0.6172502733099003	0.2979516166660312	0.1342715453633387	0.1724313123751019	0.8945737991300249	0.9587587987129014	increasing	0.4068362385327397	0.7612097216943867	0	0.1878085955537279	0022-RSBC	Task
21	100.0	0.9612404532960964	0.0233266667522999	0.5988250501290541	0.2409256703831198	0.0927655998912632	0.1277763217029886	0.95166060859153	0.9650609020353328	increasing	0.5487897852154752	0.644507209853889	0	0.1254174566249112	0023-SFKF	Task
27	130.0	0.9302048383580996	0.0648902358463992	0.6239014714519385	0.2713321417839703	0.1326566905693315	0.1740658903532935	0.8970242630229589	0.9638258390042452	increasing	0.4497243862674586	0.7171607923796918	0	0.2811041870989126	0024-SZLE	Task
26	125.0	0.8704614219797351	0.0710479245630146	0.4649700781873128	0.2048139909712566	0.2117641189206967	0.241937502890283	0.8857861816384018	0.8535402853498109	stable	0.5024108667160094	0.4176411240495148	1	-0.2993707686201558	0025-TBMO	Task
25	120.0	0.916315702023428	0.0609331842544745	0.5403231942212973	0.3013275910640833	0.1401092979868707	0.1678084449265231	0.8763624025318897	0.9300274607653386	increasing	0.4724857511965088	0.5758261625340763	0	-0.0894187991600854	0026-XAPL	Task
23	110.0	0.9204214662923904	0.0597969354122487	0.5958049051513296	0.2896766588223083	0.1420478003857122	0.1753217462531041	0.9222027298855916	0.9038212730210426	stable	0.532042479911684	0.5478242889386742	1	-0.2072863118075317	0027-YMAD	Task
18	85.0	0.9323280101330718	0.0452044811861048	0.4539297283664157	0.2133612415372432	0.1175926749397678	0.1343641885052202	0.9504933547344402	0.9214851136441544	stable	0.535937450370753	0.3730552336123423	0	0.3989402540002484	0028-ZFML	Task
19	90.0	0.9377010088870278	0.0441943100002021	0.5115405200128095	0.1870720161790406	0.1196697848004421	0.1492068072889246	0.9400890233411155	0.9157868855670328	stable	0.5213147742812668	0.3682094029133219	0	0.0851918143552211	0029-ZZOV	Task
24	115.0	0.9616901644489882	0.0300256272805308	0.7051217512309514	0.298519123796184	0.0802398470422815	0.1140084468782178	0.9509997687524524	0.9692301583836636	increasing	0.7060178340735895	0.6803780161392325	0	0.141270195114165	0000-ACAA	Stress
